Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Ireland,Давыдов Орест Измаилович,Bayern Munich,полузащитник,9,30
Cambodia,Хохлов Арсений Владиславович,River Plate,вратарь,5,-20
Slovenia,Симонов Мирон Ефремович,Cruzeiro,вратарь,10,-5
Burundi,Щукин Бажен Георгиевич,Paris Saint-Germain,вратарь,4,-27
Nicaragua,Доронин Тарас Эдуардович,Santos,вратарь,6,-10
Liechtenstein,Тимофеев Моисей Егорович,Colo-Colo,полузащитник,3,7
Niue,Логинов Евграф Давыдович,Sporting,нападающий,4,1
Bulgaria,Устинов Леон Фадеевич,Hamburger SV,защитник,8,30
Saint Lucia,Борисов Филарет Эдгардович,Werder Bremen,защитник,3,28
Belize,Капустин Платон Владиславович,San Lorenzo,защитник,4,20
Nauru,Костин Филимон Гавриилович,Valencia,вратарь,4,-26
Kenya,Ситников Никандр Ефстафьевич,Roma,вратарь,10,-7
Mauritania,Богданов Мокей Данилович,River Plate,полузащитник,3,12
Guinea,Гордеев Николай Васильевич,Austria Wien,нападающий,8,20
Hong Kong,Беляков Милан Андреевич,Borussia Dortmund,нападающий,10,7
Samoa,Кулаков Евстигней Филиппович,Vasco da Gama,полузащитник,5,8
Cuba,Сергеев Остап Ермолаевич,Valencia,вратарь,5,-22
Micronesia,Дьячков Федор Власович,Schalke,полузащитник,8,13
Portugal,Михеев Мечислав Иосипович,Borussia Mönchengladbach,защитник,10,25
France,Суханов Модест Харитонович,Grêmio,вратарь,7,-9
Bangladesh,Назаров Валерий Владиславович,Barcelona,полузащитник,3,4
Germany,Степанов Самуил Алексеевич,Independiente,полузащитник,5,10
Cambodia,Богданов Аверкий Гаврилович,Cruzeiro,защитник,6,5
Belgium,Власов Мариан Глебович,Rangers,вратарь,8,-26
Finland,Лукин Ульян Жоресович,Torino,нападающий,6,6
Virgin Islands (U.S.),Галкин Игорь Демидович,Red Star Belgrade,вратарь,7,-5
Cape Verde,Якушев Орест Александрович,Everton,полузащитник,3,5
Austria,Пахомов Пров Викентьевич,Olympique Lyonnais,полузащитник,6,7
Finland,Игнатов Давыд Харлампьевич,Monaco,защитник,7,2
Congo,Шилов Константин Игнатьевич,Sporting,полузащитник,9,4
Mayotte,Горбачев Евлампий Фомич,Werder Bremen,нападающий,6,28
Switzerland,Зыков Ростислав Фролович,Rapid Wien,полузащитник,7,21
Lebanon,Агафонов Пантелеймон Борисович,Monaco,нападающий,8,6
