Страна,ФИО,Клуб,Амплуа,Количество матчей,Количество мячей
Antarctica,Денисов Милен Григорьевич,A.C. Milan,нападающий,6,16
Saint Kitts And Nevis,Крюков Демьян Владиславович,Olympique Marseille,защитник,2,29
Vanuatu,Осипов Савва Игоревич,Schalke,нападающий,4,19
Singapore,Агафонов Никифор Давыдович,Cruzeiro,нападающий,4,5
Honduras,Марков Феофан Фомич,Feyenoord,вратарь,6,-19
Japan,Шубин Флорентин Власович,Olympique Lyonnais,полузащитник,5,5
Canada,Давыдов Никита Бенедиктович,Olympique Lyonnais,полузащитник,2,18
Costa Rica,Горбунов Гостомысл Исидорович,Olimpia,вратарь,8,-7
Jamaica,Денисов Иннокентий Адрианович,A.C. Milan,защитник,2,13
Philippines,Киселев Панфил Анатольевич,Real Madrid,защитник,10,19
Yugoslavia,Мишин Ладислав Адрианович,Slavia Prague,нападающий,1,18
Zimbabwe,Комиссаров Савватий Харитонович,Levski Sofia,защитник,3,6
Syrian Arab Republic,Романов Аскольд Алексеевич,Manchester United,вратарь,9,-30
Laos,Ларионов Никодим Валентинович,Olympiacos,полузащитник,8,20
Tokelau,Тетерин Боян Вячеславович,Vasco da Gama,полузащитник,8,6
Portugal,Фадеев Прокофий Егорович,Porto,защитник,2,18
Faroe Islands,Доронин Данила Андреевич,Dinamo Zagreb,нападающий,1,15
Bermuda,Горшков Федот Адрианович,Grêmio,вратарь,2,-17
Denmark,Лихачев Панкрат Зиновьевич,Cerro Porteño,полузащитник,5,7
Yugoslavia,Кудрявцев Ефим Иосифович,Schalke,нападающий,8,29
Cyprus,Казаков Фома Арсеньевич,Universidad de Chile,нападающий,4,5
Falkland Islands (Malvinas),Якушев Максим Арсеньевич,Espérance,нападающий,4,6
Gibraltar,Яковлев Станислав Филимонович,Dinamo Bucureşti,полузащитник,3,10
Australia,Киселев Юлиан Харламович,Aston Villa,вратарь,5,-2
Liberia,Комаров Олег Дмитриевич,Liverpool,нападающий,6,27
Jordan,Назаров Любомир Феликсович,Valencia,защитник,3,28
Nepal,Ефремов Мечислав Эдгарович,Real Madrid,полузащитник,7,26
Guinea,Козлов Варлаам Елисеевич,Panathinaikos,полузащитник,3,8
Andorra,Ильин Глеб Данилович,Espérance,полузащитник,3,28
Eritrea,Кабанов Светозар Харлампьевич,Libertad,вратарь,5,-18
Greenland,Дмитриев Афиноген Адамович,Flamengo,нападающий,8,28
Philippines,Веселов Силантий Адрианович,Zamalek,вратарь,6,-5
Guadeloupe,Васильев Гедеон Абрамович,Nacional,полузащитник,5,20
San Marino,Колобов Климент Иосифович,Werder Bremen,вратарь,10,-3
Uruguay,Молчанов Аверкий Валентинович,Borussia Dortmund,нападающий,6,8
Papua New Guinea,Дроздов Федор Изотович,Rangers,нападающий,5,9
Nicaragua,Дроздов Игнатий Борисович,Estudiantes,нападающий,2,10
Finland,Елисеев Мартьян Гордеевич,Athletic Bilbao,полузащитник,5,19
Mauritania,Сазонов Корнил Харитонович,Paris Saint-Germain,вратарь,3,-5
Hong Kong,Русаков Евграф Бенедиктович,Bayern Munich,защитник,7,22
El Salvador,Якушев Евсей Абрамович,Libertad,нападающий,2,18
Virgin Islands (U.S.),Захаров Кир Ильич,Austria Wien,полузащитник,1,29
Bouvet Island,Соболев Агафон Трофимович,Club América,полузащитник,5,28
Honduras,Копылов Яков Юльевич,Chelsea,нападающий,1,13
Lesotho,Молчанов Самсон Ермолаевич,A.C. Milan,защитник,10,27
Morocco,Петров Прокофий Васильевич,Grasshopper Club Zürich,вратарь,9,-1
China,Сазонов Адам Феликсович,Napoli,нападающий,5,9
United Kingdom,Михайлов Василий Димитриевич,Rangers,нападающий,4,22
Denmark,Котов Феоктист Трофимович,Universitario,полузащитник,4,26
Virgin Islands (British),Сидоров Аскольд Эдгарович,Girondins de Bordeaux,нападающий,2,23
Honduras,Кошелев Измаил Феофанович,Paris Saint-Germain,вратарь,2,-23
Latvia,Субботин Селиверст Харлампьевич,Corinthians,полузащитник,1,20
New Caledonia,Фомин Савва Германович,Roma,защитник,3,25
Indonesia,Трофимов Нестор Фадеевич,Real Madrid,полузащитник,5,2
St.Pierre,Логинов Фока Филимонович,PSV Eindhoven,нападающий,10,4
San Marino,Трофимов Эрнест Дорофеевич,Real Madrid,полузащитник,5,11
Kyrgyzstan,Овчинников Сидор Феодосьевич,Palmeiras,нападающий,4,8
Brazil,Молчанов Емельян Владленович,Fiorentina,полузащитник,8,9
Reunion,Воронцов Азарий Филимонович,MTK Budapest,вратарь,1,-6
Liberia,Попов Дементий Виленович,Malmö,вратарь,9,-20
French Guiana,Жданов Осип Давыдович,Liverpool,вратарь,9,-13
Greece,Ефремов Станислав Алексеевич,Aston Villa,полузащитник,7,9
Nepal,Алексеев Руслан Терентьевич,Werder Bremen,полузащитник,5,13
Iran,Мухин Сидор Георгиевич,Köln,защитник,3,27
Austria,Лобанов Матвей Гурьевич,Liverpool,защитник,1,26
Argentina,Фролов Давыд Юльевич,Porto,полузащитник,7,13
Guam,Селезнев Варфоломей Гаврилович,Nacional,нападающий,1,9
Montserrat,Суханов Михаил Харлампьевич,Grasshopper Club Zürich,нападающий,2,2
Viet Nam,Авдеев Спиридон Ануфриевич,Hamburger SV,нападающий,1,21
Niue,Наумов Виктор Викентьевич,Barcelona,защитник,6,27
Ecuador,Жуков Азарий Тимурович,Ajax,полузащитник,6,10
Kenya,Блохин Виктор Тимурович,Colo-Colo,нападающий,7,18
Jordan,Федоров Пахом Харитонович,Galatasaray,вратарь,2,-29
